"function","addr","addr_end","type","unit","name","name_for_id","usertype","decimals","description",
2,12501,,"bool",,"No grid ","No grid ","bool",,,
2,12502,,"bool",,"Grid over voltage ",,"bool",,,
2,12503,,"bool",,"Grid under voltage ",,"bool",,,
2,12504,,"bool",,"Grid over frequency ",,"bool",,,
2,12505,,"bool",,"Grid under frequency ",,"bool",,,
2,12506,,"bool",,"Grid imbalance ",,"bool",,,
2,12507,,"bool",,"Grid frequency jitter ",,"bool",,,
2,12508,,"bool",,"Grid impedance is too large ",,"bool",,,
2,12509,,"bool",,"Grid current tracking fault ",,"bool",,,
2,12510,,"bool",,"METER communication failed ",,"bool",,,
2,12511,,"bool",,"FailSafe ",,"bool",,"Not the menu option, maybe it means EPM failsafe has triggered, not just enabled",
2,12512,,"bool",,"Reserved grid fault",,"bool",,,
2,12513,,"bool",,"Reserved grid fault",,"bool",,,
2,12514,,"bool",,"Reserved grid fault",,"bool",,,
2,12515,,"bool",,"Reserved grid fault",,"bool",,,
2,12516,,"bool",,"Reserved grid fault",,"bool",,,
2,12517,,"bool",,"Backup overvoltage fault ",,"bool",,,
2,12518,,"bool",,"Backup overload fault ",,"bool",,,
2,12519,,"bool",,"Reserved backup fault",,"bool",,,
2,12520,,"bool",,"Reserved backup fault",,"bool",,,
2,12521,,"bool",,"Reserved backup fault",,"bool",,,
2,12522,,"bool",,"Reserved backup fault",,"bool",,,
2,12523,,"bool",,"Reserved backup fault",,"bool",,,
2,12524,,"bool",,"Reserved backup fault",,"bool",,,
2,12525,,"bool",,"Reserved backup fault",,"bool",,,
2,12526,,"bool",,"Reserved backup fault",,"bool",,,
2,12527,,"bool",,"Reserved backup fault",,"bool",,,
2,12528,,"bool",,"Reserved backup fault",,"bool",,,
2,12529,,"bool",,"Reserved backup fault",,"bool",,,
2,12530,,"bool",,"Reserved backup fault",,"bool",,,
2,12531,,"bool",,"Reserved backup fault",,"bool",,,
2,12532,,"bool",,"Reserved backup fault",,"bool",,,
2,12533,,"bool",,"Battery not connected ",,"bool",,,
2,12534,,"bool",,"Battery overvoltage detection ",,"bool",,,
2,12535,,"bool",,"Battery undervoltage detection ",,"bool",,,
2,12536,,"bool",,"Reserved battery fault",,"bool",,,
2,12537,,"bool",,"Reserved battery fault",,"bool",,,
2,12538,,"bool",,"Reserved battery fault",,"bool",,,
2,12539,,"bool",,"Reserved battery fault",,"bool",,,
2,12540,,"bool",,"Reserved battery fault",,"bool",,,
2,12541,,"bool",,"Reserved battery fault",,"bool",,,
2,12542,,"bool",,"Reserved battery fault",,"bool",,,
2,12543,,"bool",,"Reserved battery fault",,"bool",,,
2,12544,,"bool",,"Reserved battery fault",,"bool",,,
2,12545,,"bool",,"Reserved battery fault",,"bool",,,
2,12546,,"bool",,"Reserved battery fault",,"bool",,,
2,12547,,"bool",,"Reserved battery fault",,"bool",,,
2,12548,,"bool",,"Reserved battery fault",,"bool",,,
2,12549,,"bool",,"DC overvoltage ",,"bool",,,
2,12550,,"bool",,"DC bus overvoltage ",,"bool",,,
2,12551,,"bool",,"DC bus unbalanced voltage ",,"bool",,,
2,12552,,"bool",,"DC bus undervoltage ",,"bool",,,
2,12553,,"bool",,"DC busbar unbalanced voltage 2 ",,"bool",,,
2,12554,,"bool",,"DC path A overcurrent ",,"bool",,,
2,12555,,"bool",,"DC path B overcurrent ",,"bool",,,
2,12556,,"bool",,"DC input interference",,"bool",,,
2,12557,,"bool",,"Grid overcurrent ",,"bool",,,
2,12558,,"bool",,"IGBT overcurrent ",,"bool",,,
2,12559,,"bool",,"Grid interference 02 ",,"bool",,,
2,12560,,"bool",,"Arc self-test protection ","Arc self test protection ","bool",,,
2,12561,,"bool",,"Arc fault (reserved)","Arc fault reserved","bool",,,
2,12562,,"bool",,"Grid current sampling error",,"bool",,,
2,12563,,"bool",,"Reserved inverter fault",,"bool",,,
2,12564,,"bool",,"Reserved inverter fault",,"bool",,,
2,12565,,"bool",,"Grid interference",,"bool",,,
2,12566,,"bool",,"DC component is too large ",,"bool",,,
2,12567,,"bool",,"Over temperature protection ",,"bool",,,
2,12568,,"bool",,"Relay check protection ",,"bool",,,
2,12569,,"bool",,"Under temperature protection ",,"bool",,,
2,12570,,"bool",,"PV insulation fault ",,"bool",,,
2,12571,,"bool",,"12V undervoltage protection ",,"bool",,,
2,12572,,"bool",,"Leakage current protection ",,"bool",,,
2,12573,,"bool",,"Leakage current self-test protection ","Leakage current self test protection ","bool",,,
2,12574,,"bool",,"DSP initialization protection ",,"bool",,,
2,12575,,"bool",,"DSP_B protection ",,"bool",,,
2,12576,,"bool",,"Battery overvoltage hardware failure ",,"bool",,,
2,12577,,"bool",,"LLC hardware overcurrent ",,"bool",,,
2,12578,,"bool",,"Grid side current transient overcurrent ",,"bool",,,
2,12579,,"bool",,"CAN communication failed ",,"bool",,,
2,12580,,"bool",,"DSP communication failed ",,"bool",,,
2,12581,,"bool",,"Normal operation ",,"bool",,,
2,12582,,"bool",,"Initializing",,"bool",,,
2,12583,,"bool",,"Controlled shutdown",,"bool",,,
2,12584,,"bool",,"Shutdown due to fault ",,"bool",,,
2,12585,,"bool",,"Standby ",,"bool",,,
2,12586,,"bool",,"Derating operation (derating due to temperature, frequency, etc.)","Derating operation","bool",,,
2,12587,,"bool",,"Limit operation (due to external factors) ","Limit operation","bool",,,
2,12588,,"bool",,"Backup overload ",,"bool",,,
2,12589,,"bool",,"Load status ",,"bool",,,
2,12590,,"bool",,"Grid status ",,"bool",,,
2,12591,,"bool",,"Battery status ",,"bool",,,
2,12592,,"bool",,"Grid Surge Warning",,"bool",,,
2,12593,,"bool",,"Fan Fault Warning",,"bool",,,
2,12594,,"bool",,"Reserved Normal Status",,"bool",,,
2,12595,,"bool",,"Reserved Normal Status",,"bool",,,
4,35000,,"U16",,"Inverter Model definition ",,"int",,"Explanation:
0000---no definition
1010---1phase grid-tied inverter
1020---3 phase grid-tied inverter
2030--- 1 phase LV Hybrid inverter
2031--- 1 phase LV AC Couple energy storage inverter
2040---1 phase HV Hybrid inverter
2050--- 3 phases LV Hybrid inverter
2060--- 3 phases HV Hybrid inverter
1070--- External EPM device
3010---OGI Off-grid inverter
Description:
1、high 8 bit means protocol version, low 8 bit means
inverter model
10：see《RS485_MODBUS(INV-3000ID
EPM-36000ID) inverter protocol；
20：see《RS485_MODBUS(ESINV-33000ID) energy
storage inverter protocol》
2、0000H-no definition model。
3、The address is available as long as the LCD is
Powered",
4,33000,,"U16 ",,"Product model ",,"int",,"See Appendix 1 (hexadecimal display)",
4,33001,,"U16 ",,"DSP software version",,"int",,"(hexadecimal display)",
4,33002,,"U16 ",,"LCD software version",,"int",,"(hexadecimal display)",
4,33003,,"U16 ",,"Protocol software version",,"int",,"(hexadecimal display)",
4,33004,33019,"U16 ",,"Inverter serial number",,"int",,"32-bit ASCII code value literal translation display, such as:
33004 = ‘01’
33005 = ‘23’
Corresponding display: ‘0123’
Ginlong only takes the upper 15 bits as the effective SN number.
33004 is the most significant and
33019 is the least significant.",
4,33020,,"U16",,"Initial Startup Setting Flag bit ",,"int",,"1---Initial startup setting completed
0---Haven’t done initial startup setting
Note：If the upper computer received 0,it means the customer haven’t done initial startup setting. The APP will
enter the section to ask customer do it.
For APP point to point setting function",
4,33021,,"U16",,"Reserved ",,"int",,"always zero",
4,33022,,"U16","Year","System time year ",,"int",,"0-99 years",
4,33023,,"U16 ","Month","System time month",,"int",,,
4,33024,,"U16 ","Day","System time day ",,"int",,,
4,33025,,"U16 ","Hour ","System time hour",,"int",,,
4,33026,,"U16 ","Minute ","System time minute",,"int",,,
4,33027,,"U16 ","Second","System time second",,"int",,,
4,33028,,"U16",,"Reserved ",,"int",,"always zero",
4,33029,33030,"U32 ","1kWh","Energy generated total",,"float",,,
4,33031,33032,"U32 ","1kWh","Energy generated current month",,"float",,,
4,33033,33034,"U32 ","1kWh","Energy generated last month",,"float",,,
4,33035,,"U16 ","0.1kWh","Energy generated today",,"float",,,
4,33036,,"U16 ","0.1kWh","Energy generated yesterday",,"float",,,
4,33037,33038,"U32 ","1kWh","Energy generated current year",,"float",,,
4,33039,33040,"U32 ","1kWh","Energy generated last year",,"float",,,
4,33041,,"U16",,"Reserved ",,"int",,"always zero",
4,33042,,"U16",,"Reserved ",,"int",,"always zero",
4,33043,,"U16",,"Reserved ",,"int",,"always zero",
4,33044,,"U16",,"Reserved ",,"int",,"always zero",
4,33045,,"U16",,"Reserved ",,"int",,"always zero",
4,33046,,"U16",,"Reserved ",,"int",,"always zero",
4,33047,,"U16",,"AC output Type ",,"int",,"0- Single Phase
1- Three phase four wires
2- Three phase three wires
3- Three phase four wires OR Three
phase three wires",
4,33048,,"U16",,"DC input Type ",,"int",,"0-1 input
1-2 inputs
2-3 inputs
3-4 inputs",
4,33049,,"U16","0.1V","MPPT1 voltage",,"float",,,
4,33050,,"U16","0.1A","MPPT1 current",,"float",,,
4,33051,,"U16","0.1V","MPPT2 voltage",,"float",,,
4,33052,,"U16","0.1A","MPPT2 current",,"float",,,
4,33053,,"U16","0.1V","MPPT3 voltage",,"float",,,
4,33054,,"U16","0.1A","MPPT3 current",,"float",,,
4,33055,,"U16","0.1V","MPPT4 voltage",,"float",,,
4,33056,,"U16","0.1A","MPPT4 current",,"float",,,
4,33057,33058,"U32 ","1W","PV power",,"float",,,
4,33059,33069,"U16",,"Reserved ",,"int",,"always zero",
4,33070,,"U16",,"Reserved ",,"int",,"always zero",
4,33071,,"U16 ","0.1V","DC bus voltage ",,"float",,,
4,33072,,"U16 ","0.1V","DC bus half Voltage",,"float",,,
4,33073,,"U16 ","0.1V","AB line voltage / phase A voltage","AB line voltage phase A voltage","float",,,
4,33074,,"U16 ","0.1V","BC line voltage / phase B voltage","BC line voltage phase B voltage","float",,,
4,33075,,"U16 ","0.1V","CA line voltage / C phase voltage","CA line voltage C phase voltage","float",,,
4,33076,,"U16 ","0.1A","Phase A current ",,"float",,,
4,33077,,"U16 ","0.1A","Phase B current ",,"float",,,
4,33078,,"U16 ","0.1A","Phase C current ",,"float",,,
4,33079,33080,"S32 ","1W","Active power ",,"float",,,
4,33081,33082,"S32 ","1Var","Reactive power ",,"float",,,
4,33083,33084,"S32 ","1VA","Apparent power ",,"float",,,
4,33085,,"U16",,"Reserved ",,"int",,"always zero",
4,33086,,"U16",,"Reserved ",,"int",,"always zero",
4,33087,,"U16",,"Reserved ",,"int",,"always zero",
4,33088,,"U16",,"Reserved ",,"int",,"always zero",
4,33089,,"U16",,"Reserved ",,"int",,"always zero",
4,33090,,"U16",,"Reserved ",,"int",,"always zero",
4,33091,,"U16 ",,"Standard working mode",,"int",,"Working mode:
00: No response mode
01: Volt–watt default
02: Volt–var
03: Fixed power factor
04: Fix reactive power
05: Power-PF
06: Rule21Volt–watt
These modes are useful for grid-tied distributed energy resources (DER) regulations such as California’s Rule 21 or Hawaii’s Rule 14H. Refer to registers 43051-43083.",
4,33092,,"U16 ",,"National standard",,"int",,"See Appendix 3",
4,33093,,"S16","0.1°C","Inverter temperature","temperature","float",,,
4,33094,,"U16 ","0.01Hz","Grid frequency ",,"float",,,
4,33095,,"U16 ",,"Inverter status",,"bitfield",,"See Appendix 2",
4,33096,,"S16","0.1°C","Lead acid battery temperature ",,"float",,,
4,33097,,"U16",,"Reserved ",,"int",,"always zero",
4,33098,,"U16",,"Reserved ",,"int",,"always zero",
4,33099,,"U16",,"Reserved ",,"int",,"always zero",
4,33100,33101,"S32 ","1W","Limit active power adjustment rated power",,"float",,,
4,33102,33103,"S32 ","1Var","Limit reactive power adjustment rated power ",,"float",,,
4,33104,,"U16 ","1,00 %","Actual power limit",,"float",,"10000 = 100%
Setting range (0-100%)
100% refers to the nominal nominal power.",
4,33105,,"S16 ","0,01","Actual power factor adjustment value",,"float",,"Power factor low:
(800 ↔ 0.80, 1000 ↔ 1.00)
(-800 ↔ -0.80, -1000 ↔ -1.00)
(power factor 1.00 same as -1.00)
Setting range (-0.80 to 0.80)
This function does not exist for models rated at 15KW and below.",
4,33106,,"S16 ","0,01 %","Reactive power setting percent",,"float",,"10000 ↔ 100%
Setting range (-6000 to 6000)
Default: 0
This function is only for standard mode 4 reactive power setting",
4,33107,,"U16",,"Reserved ",,"int",,"always zero",
4,33108,,"U16",,"Reserved ",,"int",,"always zero",
4,33109,,"U16",,"Reserved ",,"int",,"always zero",
4,33110,,"U16",,"Reserved ",,"int",,"always zero",
4,33111,,"U16",,"Reserved ",,"int",,"always zero",
4,33112,,"U16",,"Reserved ",,"int",,"always zero",
4,33113,,"U16",,"Reserved ",,"int",,"always zero",
4,33114,,"U16",,"Reserved ",,"int",,"always zero",
4,33115,,"U16 ",,"Setting flag bit ",,"bitfield",,"See Appendix 8",
4,33116,,"U16 ",,"Fault status 1 Grid ",,"bitfield",,"Appendix 5
BIT Fault status Status Code
BIT00 No grid 0—No 1—Yes
BIT01 Grid overvoltage 0—No 1—Yes
BIT02 Grid undervoltage 0—No 1—Yes
BIT03 Grid overfreq 0—No 1—Yes
BIT04 Grid underfreq 0—No 1—Yes
BIT05 Unbalanced grid 0—No 1—Yes
BIT06 Gird frequency Fluctuation 0—No 1—Yes
BIT07 Grid reverse current 0—No 1—Yes
BIT08 Grid current tracking error 0—No 1—Yes
BIT09 METER COM Fail 0—No 1—Yes
BIT10 FailSafe 0—No 1—Yes
BIT11 Reserved 0—No 1—Yes
BIT12 Reserved 0—No 1—Yes
BIT13 Reserved 0—No 1—Yes
BIT14 Reserved 0—No 1—Yes
BIT15 Reserved 0—No 1—Yes",
4,33117,,"U16",,"Fault status 2 Backup ",,"bitfield",,"Appendix 5
BIT00 Backup overvoltage fault 0—No 1—Yes
BIT01 Backup overload fault 0—No 1—Yes
BIT02 Reserved 0—No 1—Yes
BIT03 Reserved 0—No 1—Yes
BIT04 Reserved 0—No 1—Yes
BIT05 Reserved 0—No 1—Yes
BIT06 Reserved 0—No 1—Yes
BIT07 Reserved 0—No 1—Yes
BIT08 Reserved 0—No 1—Yes
BIT09 Reserved 0—No 1—Yes
BIT10 Reserved 0—No 1—Yes
BIT11 Reserved 0—No 1—Yes
BIT12 Reserved 0—No 1—Yes
BIT13 Reserved 0—No 1—Yes",
4,33118,,"U16",,"Fault status 3 Battery ",,"bitfield",,"Appendix 5
BIT00 Battery not connected 0—No 1—Yes
BIT01 Battery overvoltage Check 0—No 1—Yes
BIT02 Battery undervoltage Check 0—No 1—Yes
BIT03 Reserved 0—No 1—Yes
BIT04 Reserved 0—No 1—Yes
BIT05 Reserved 0—No 1—Yes
BIT06 Reserved 0—No 1—Yes
BIT07 Reserved 0—No 1—Yes
BIT08 Reserved 0—No 1—Yes
BIT09 Reserved 0—No 1—Yes
BIT10 Reserved 0—No 1—Yes
BIT11 Reserved 0—No 1—Yes
BIT12 Reserved 0—No 1—Yes
BIT13 Reserved 0—No 1—Yes
BIT14 Reserved 0—No 1—Yes
BIT15 Reserved 0—No 1—Yes",
4,33119,,"U16",,"Fault status 4 Inverter ",,"bitfield",,"Appendix 5
BIT00 DC overvoltage 0—No 1—Yes
BIT01 DC Bus overvoltage 0—No 1—Yes
BIT02 DC Bus unbalanced voltage 0—No 1—Yes
BIT03 DC Bus undervoltage 0—No 1—Yes
BIT04 DC Bus unbalanced voltage 2 0—No 1—Yes
BIT05 DC overcurrent on A circuit 0—No 1—Yes
BIT06 DC overcurrent on B circuit 0—No 1—Yes
BIT07 DC input interference 0—No 1—Yes
BIT08 Grid overcurrent 0—No 1—Yes
BIT09 IGBT overcurrent 0—No 1—Yes
BIT10 Grid interference 02 0—No 1—Yes
BIT11 AFCI self-check 0—No 1—Yes
BIT12 Arc fault reserved 0—No 1—Yes
BIT13 Grid current sampling fault 0—No 1—Yes
BIT14 DSP self-check error 0—No 1—Yes
BIT15 Reserved 0—No 1—Yes",
4,33120,,"U16",,"Fault status 5 Inverter ",,"bitfield",,"Appendix 5
BIT00 Grid interference 0—No 1—Yes
BIT01 Over dc components 0—No 1—Yes
BIT02 Over temperature Protection 0—No 1—Yes
BIT03 Relay check pro 0—No 1—Yes
BIT04 Under temperature protection 0—No 1—Yes
BIT05 PV insulation fault 0—No 1—Yes
BIT06 12V undervoltage pro 0—No 1—Yes
BIT07 Leak current pro 0—No 1—Yes
BIT08 Leak current self check pro 0—No 1—Yes
BIT09 DSP initial pro 0—No 1—Yes
BIT10 DSP B pro 0—No 1—Yes
BIT11 Battery overvoltage hardware fault 0—No 1—Yes
BIT12 LLC hardware overcurrent 0—No 1—Yes
BIT13 Grid transient overcurrent 0—No 1—Yes
BIT14 CAN COM FAIL 0—No 1—Yes
BIT15 DSP COM FAIL 0—No 1—Yes",
4,33121,,"U16 ",,"Operating status ",,"bitfield",,"Appendix 6
BIT00 Normal Operation 0—No 1—Yes
BIT01 Initializing 0—No 1—Yes
BIT02 Controlled turning OFF 0—No 1—Yes
BIT03 Fault leads to turning OFF 0—No 1—Yes
BIT04 Stand-by 0—No 1—Yes
BIT05 Limited Operation (Caused by temperature, frequency, etc.) 0—No 1—Yes
BIT06 Limited Operation（Caused by external reason） 0—No 1—Yes
BIT07 Backup overload 0—No 1—Yes
BIT08 Load fault (Is the load normal) 0—No 1—Yes
BIT09 Grid fault (Is the Grid normal) 0—No 1—Yes
BIT10 Battery fault (Is the battery normal) 0—No 1—Yes
BIT11 Reserved 0—No 1—Yes
BIT12 Grid Surge(Warn) 0—No 1—Yes
BIT13 Fan fault(Warn) 0—No 1—Yes
BIT14 Reserved 0—No 1—Yes
BIT15 Reserved 0—No 1—Yes",
4,33122,,"U16",,"Reserved ",,"int",,"always zero",
4,33123,,"U16",,"Reserved ",,"int",,"always zero",
4,33124,,"U16",,"Reserved ",,"int",,"always zero",
4,33125,,"U16",,"Reserved ",,"int",,"always zero",
4,33126,33127,"U32 ","0,001kWh ","Reserved was Meter active energy generation total",,"float",,"still contains meaningful values",
4,33128,,"U16 ","0,1V","Reserved was Meter voltage ",,"float",,"still contains meaningful values",
4,33129,,"U16 ","0,1A","Reserved was Meter current ",,"float",,"still contains meaningful values",
4,33130,33131,"S32 ","1W","Reserved was Meter active Power",,"float",,"Positive: export power to Grid
Negative: import power from Grid",
4,33132,,"U16 ",,"Energy storage mode",,"bitfield",,"See Appendix 7
BIT01 Time-charging mode 0—OFF 1—ON
BIT02 OFF-grid mode 0—OFF 1—ON
BIT03 Battery wakeup switch (1—wakeup enable 0—wakeup disable)
BIT04 Reserve battery mode 0—OFF 1—ON
BIT05 Allow grid to charge the battery 0—Allow 1—Not allow",
4,33133,,"U16 ","0,1V","Battery voltage ",,"float",,,
4,33134,,"S16 ","0,1A","Battery current ",,"float",,"10 ↔ 1A
WRONG Official doc : Positive：charging Negative：discharging
Inverter: it’s always positive even if discharging, sign is in next register",
4,33135,,"U16 ",,"Battery current direction",,"int",,"Battery charging and discharging direction.
0: charging
1: discharging",
4,33136,,"U16 ","0.1V ","LLC bus voltage ",,"float",,,
4,33137,,"U16 ","0.1V ","Backup AC voltage",,"float",,,
4,33138,,"U16 ","0.1A ","Backup AC current",,"float",,,
4,33139,,"U16 ","1,00 %","BMS Battery SOC",,"float",,"100 ↔ 100%
",
4,33140,,"U16 ","1,00 %","BMS Battery health SOH",,"float",,"100 ↔ 100%
",
4,33141,,"U16 ","0.01V ","BMS Battery voltage ",,"float",,,
4,33142,,"S16 ","0.1A ","BMS Battery current ",,"float",,"Always positive",
4,33143,,"U16 ","0.1A ","BMS Battery charge current limit",,"float",,,
4,33144,,"U16 ","0.1A ","BMS Battery discharge current limit",,"float",,,
4,33145,,"U16 ",,"BMS Battery fault information 01",,"bitfield",,"(from BMS information, LV inverter only, HV inverter see register document)
BIT00: Reserved
BIT01: Overvoltage protection
BIT02: Undervoltage protection
BIT04: Over temperature protection
BIT04: Under temperature protection
BIT05: Over temperature charging protection
BIT06: Under temperature charging protection
BIT07: Discharging overcurrent protection",
4,33146,,"U16 ",,"BMS Battery fault information 02",,"bitfield",,"(from BMS information, LV inverter only, HV inverter see register document)
BIT00: Charging overcurrent protection
BIT01: Reserved
BIT02: Reserved
BIT03: BMS internal protection
BIT04: Battery module unbalanced
BIT05: Reserved
BIT06: Reserved
BIT07: Reserved",
4,33147,,"U16 ","1W","House load power ",,"float",,,
4,33148,,"U16 ","1W","Backup load power",,"float",,,
4,33149,33150,"S32 ","1W","Battery power ",,"float",,"TODO : looks like it’s always positive even if discharging",
4,33151,33152,"S32 ","-1W","Grid Port Power ",,"float",,"+ to grid, - From grid",
4,33153,,"U16","0,1V","Backup AC voltage Phase B",,"float",,,
4,33154,,"U16","0,1A","Backup AC current Phase B",,"float",,,
4,33155,,"U16","0,1V","Backup AC voltage Phase C",,"float",,,
4,33156,,"U16","0,1A","Backup AC current Phase C",,"float",,,
4,33157,,"S16","10W ","Inverting Power or Rectifying Power",,"float",,,
4,33158,,"U16",,"Reserved ",,"int",,"Always 1",
4,33159,,"U16",,"Battery Detected ",,"int",,"Only for 1P HV hybrid (Not for APP, only for internal test)
1：Detected
0：Not detected",
4,33160,,"U16",,"Battery Model ",,"int",,"LV hybrid：
0x0000：no battery model
0x0001： PYLON_LV
0x0002：User define
0x0003：B_BOX_LV BYD
HV hybrid：
0x0000：no battery model
0x0100： PYLON_HV
0x0200：User define
0x0300：B_BOX_HV BYD
0x0400: LG_HV LG
0x0500: SOLUNA_HV",
4,33161,33162,"U32 ","1kWh ","Battery charge energy total",,"float",,,
4,33163,,"U16 ","0.1kWh ","Battery charge energy today",,"float",,,
4,33164,,"U16 ","0.1kWh ","Battery charge energy yesterday",,"float",,,
